petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,h_alpha_flux
20.915764,18.992474,17.707943,17.230762,16.874601,31.066319
19.332907,17.95676,17.175638,16.805794,16.392866,116.603455
22.201462,20.970152,18.990492,18.327578,17.986929,11.996504
19.630869,19.294643,18.595098,18.052547,17.741106,155.730392
18.569403,17.145256,16.429955,16.069298,15.918648,273.075745
19.370672,17.589624,16.724297,16.333851,16.019827,14.413722
19.484434,18.077101,17.382526,16.957083,16.69025,99.633766
19.300282,17.597797,16.647118,16.216955,15.895927,0.84231
18.999823,18.771935,18.223289,17.940924,17.453047,334.251801
19.764313,17.897758,17.16843,16.765709,16.539253,197.618622
18.539093,17.329987,16.789602,16.424122,16.159893,390.689545
18.981487,17.794144,17.348207,17.015018,16.978636,243.221237
19.508268,17.727983,16.714365,16.315477,15.943091,10.492228
19.003195,17.292072,16.49444,16.073931,15.748414,86.298416
19.402611,17.874813,17.082462,16.640432,16.406239,21.091461
19.089733,17.729818,17.005096,16.569424,16.311018,142.345612
19.024782,17.810198,17.358923,17.038244,16.849779,273.410217
20.19902,18.253084,17.361086,16.972429,16.644106,8.804918
18.89489,17.57481,16.865406,16.390675,15.98814,64.994019
19.623344,18.278072,17.615744,17.286331,17.13471,75.619675
19.434958,18.332222,17.88587,17.672453,17.667612,138.22261
18.8806,17.60181,17.110479,16.769535,16.624607,362.793121
20.177778,18.460199,17.247932,16.777046,16.334826,4.63253
21.109207,18.796406,17.624281,17.107952,16.735893,24.422407
18.857052,18.598112,18.763266,18.187431,18.689758,3004.32056
19.863033,18.143236,17.494316,17.147652,16.90649,240.663559
19.758112,18.640068,17.723124,17.300198,16.975349,112.587929
20.089495,18.47163,17.801256,17.350739,17.297716,61.345093
19.101175,17.874676,17.125914,16.690159,16.434704,190.459625
21.102558,19.047174,17.925377,17.429623,17.112551,9.258419
21.426884,19.232557,17.824034,17.330933,17.067747,14.693306
19.257364,18.215776,17.728292,17.445993,17.323978,255.38559
19.854155,17.906981,16.826532,16.367519,16.06101,10.13533
20.692356,18.904003,17.793186,17.351023,17.035069,4.327801
20.059814,18.479317,17.648798,17.256582,17.042849,24.671654
20.084803,18.096973,17.213856,16.684118,16.48068,9.25637
18.548233,17.558491,16.989443,16.650366,16.534914,202.740616
19.651489,17.85704,16.96209,16.558575,16.245466,8.412579
19.488079,18.307625,17.834055,17.418858,17.329742,229.984055
19.240061,18.211992,17.78623,17.495277,17.412981,492.649017
19.171398,18.119165,17.66456,17.380009,17.137318,406.228577
21.199728,18.449369,17.173437,16.653711,16.414726,19.248585
19.26189,17.42996,16.498632,16.041864,15.769453,83.550873
19.527323,18.412874,17.945887,17.578197,17.426939,160.171173
20.595783,18.886204,17.948782,17.512482,17.178823,7.220322
20.139362,18.326862,17.247072,16.776075,16.421467,5.148602
19.149519,17.995132,17.534281,17.192911,17.090042,176.864426
20.597403,18.527494,17.459375,16.986286,16.566864,19.752167
20.459452,18.86034,17.643705,17.138269,16.713381,0.439524
19.992008,17.982655,16.98995,16.523266,16.15152,89.063194
20.570847,17.688175,16.670067,16.282434,15.993945,24.742075
21.847452,18.526749,17.663576,17.175009,16.694214,62.472912
19.87919,18.486019,17.784647,17.367588,17.046875,60.632526
20.417492,18.428099,17.438148,16.9995,16.603767,9.248409
20.031145,18.48807,17.774099,17.402754,17.136417,129.132019
19.550245,18.407669,17.702766,17.394827,16.9828,71.62851
19.790474,17.957722,16.984642,16.553209,16.141199,5.763646
21.376518,20.057997,18.327793,17.672297,17.279722,2.656726
20.972553,20.849531,19.16256,18.438581,18.044546,1.824932
19.501152,17.789436,16.879465,16.428911,16.071014,264.317566
19.667597,18.100662,17.227264,16.805004,16.55452,13.782902
19.706877,18.070745,17.134172,16.758791,16.383991,8.824844
19.299393,18.17976,17.560278,17.187292,17.062824,70.709999
20.357243,18.351192,17.402319,17.001883,16.635721,3.618159
18.927748,17.456472,16.779615,16.425037,16.210451,23.04138
18.893291,17.428631,16.632624,16.221361,15.925331,168.282547
18.749519,17.590708,17.007397,16.661951,16.493473,275.936218
18.491026,17.078478,16.418289,16.080963,15.894465,201.279343
18.07975,17.069342,16.56786,16.276924,16.049126,383.06839
20.790432,18.64856,17.459557,16.937389,16.631557,27.551102
19.113462,18.484108,17.791544,17.415707,17.287682,51.795212
19.140455,17.406569,16.634315,16.150951,15.954051,64.335411
17.563066,16.658873,16.294199,16.096348,15.897325,294.282501
20.066355,18.437622,17.537148,17.143322,17.006241,8.870068
20.510361,18.08721,17.18327,16.77998,16.537291,3.766786
19.721645,18.296761,17.367619,16.926607,16.890377,11.439105
18.61025,17.331331,16.685537,16.3148,16.063629,136.492798
19.346249,18.309656,17.724716,17.386938,17.319662,202.957596
20.31188,18.619308,17.721022,17.282309,17.018551,1.321752
20.270969,18.450935,17.247276,16.754248,16.482935,11.703103
19.181334,17.787968,16.563723,16.102432,15.777048,3.33327
20.130205,18.35136,17.137878,16.687443,16.381823,3.590577
20.58375,18.65818,17.515163,17.030499,16.657101,3.764384
20.06917,18.69429,17.630022,17.175289,16.793417,15.863374
20.227732,18.549479,17.494551,16.946182,16.591253,109.378777
19.250118,17.904648,17.094252,16.626814,16.230753,142.913727
20.720779,18.946709,17.813789,17.367271,17.050129,2.897989
20.685986,18.901857,17.715216,17.255737,16.956196,8.48856
18.768675,17.607414,17.120029,16.718954,16.513302,296.344116
19.916672,18.242748,17.368912,16.927151,16.746937,72.420151
20.837078,18.624067,17.806101,17.365744,16.96546,3.516592
20.070765,18.552916,17.672991,17.196526,16.903704,141.930862
20.046495,18.632025,17.711639,17.227127,16.867495,146.536301
20.721788,19.874784,18.221233,17.617968,17.293919,2.076572
20.378983,19.3323,17.685583,17.097921,17.040403,5.222152
18.619781,17.224972,16.685841,16.371414,16.14609,1076.91309
19.0508,18.001846,17.38343,17.046207,16.809856,86.199295
19.430656,17.733892,16.913763,16.522415,16.227297,21.415146
19.64242,17.834667,16.969191,16.563833,16.23728,16.531431
20.773331,19.315756,17.938152,17.387411,17.125431,36.717194
19.070415,17.782627,16.967077,16.551405,16.191046,31.976906
18.821747,17.563374,16.978447,16.599463,16.375456,212.086609
20.168318,18.516747,17.371925,16.822542,16.672131,220.119797
19.9361,17.636047,16.65538,16.140356,15.846645,56.24881
19.777138,18.37163,17.419392,17.003061,16.679699,1.404729
22.560776,21.048227,19.283375,18.546158,17.949636,5.985255
19.713032,17.752583,16.869711,16.481087,16.19953,12.088184
19.836283,17.674246,16.523165,16.086987,15.754439,25.844614
19.236414,17.460926,16.541906,16.055531,16.046213,201.764771
20.35235,18.359617,17.30982,16.863319,16.587194,11.544876
18.574223,17.622908,17.228394,17.06831,16.809631,119.283478
20.170557,18.344196,17.574301,17.218737,16.944311,66.446411
18.262476,17.286825,16.914108,16.80534,16.609665,183.237076
19.78434,18.363134,17.424559,16.950951,16.739565,355.061249
19.234045,17.914816,17.247839,16.850616,16.570036,281.277527
19.179852,17.793198,17.064783,16.73505,16.463223,25.281239
19.427435,18.498913,17.739843,17.350739,17.077248,163.598251
19.211765,17.883347,17.096516,16.708586,16.313076,127.876526
19.136747,18.171412,17.69129,17.519527,17.551207,42.112579
19.415117,18.019485,17.418699,17.055758,16.72456,312.973083
18.672564,17.526171,17.067799,16.787592,16.730537,358.485504
18.97492,17.776937,17.270836,16.990627,16.812243,55.717014
20.600727,18.32049,17.508234,17.14411,16.662285,49.114239
21.013273,18.543133,17.697311,17.210522,16.920855,15.216911
19.416754,18.366732,17.617851,17.193121,16.951181,167.347214
19.406519,18.061567,17.36364,16.917402,16.700224,169.353867
20.344313,18.477621,17.537561,17.098011,16.83922,24.692024
19.200325,17.672556,17.194128,16.887836,16.915251,34.044796
19.493177,18.229757,17.793358,17.599789,17.551355,117.589043
18.541077,17.555939,17.1812,16.880304,16.726463,1019.22467
18.7211,17.413109,17.247711,17.175833,17.612104,138.346313
19.364071,17.626127,16.592661,16.153469,15.830283,6.16673
20.678129,18.667355,17.675083,17.21763,16.87513,19.390757
19.433292,17.478138,16.448063,16.007496,15.633133,69.085602
19.379877,17.697086,16.855595,16.457954,16.040541,29.895926
19.47456,18.353937,17.482569,17.108881,17.050602,74.081223
20.095016,18.903666,18.572914,18.243689,18.368858,167.369537
17.885672,16.937138,16.46842,16.237148,16.052303,196.2733
19.303497,17.431868,16.577263,16.169281,15.84384,88.085693
23.14863,20.403378,18.64006,18.00606,17.596416,5.710261
25.874027,20.239088,18.752905,18.177479,17.609367,4.339722
19.647469,18.090691,17.61874,17.350407,17.103834,46.257015
19.842508,17.886072,16.999781,16.591208,16.271317,11.673002
18.22402,17.073122,16.458242,16.121099,15.906489,219.986649
20.008738,18.305897,17.252497,16.813206,16.491833,12.945519
20.384233,18.591515,17.505808,17.079098,16.824551,5.915758
19.853125,18.060223,17.128132,16.689077,16.405481,17.080122
19.286932,18.023479,17.343559,17.100658,16.724365,22.638399
21.114708,18.897692,17.574055,17.115635,16.77581,1.206905
19.205528,17.909206,17.259369,16.915497,16.702841,156.771484
20.175266,18.485855,17.709112,17.309679,17.20558,194.245987
20.179987,18.133263,17.198639,16.705385,16.296059,27.211676
21.171743,18.962234,17.580637,17.045084,16.728998,3.061741
19.509846,18.084913,17.363527,16.990772,16.75758,128.367432
19.407822,17.511238,16.533842,16.115477,15.778678,17.956184
19.114744,17.421249,16.542187,16.051311,15.748833,124.203476
18.927608,17.804672,17.197578,16.893867,16.644299,103.387367
20.031834,18.001131,17.1264,16.742037,16.50956,6.388656
19.553596,18.407696,18.111101,17.875029,17.965881,294.304047
19.207693,18.120075,17.515545,17.17691,16.955244,52.719021
20.676601,18.487104,17.432465,16.943731,16.551121,23.014954
